year;Permanent_Tournament_Number;Round_Number;fullart_bing_positive;fullart_bing_negative;fullart_bing_sentiment;fullart_afinn_positive;fullart_afinn_negative;fullart_afinn_sentiment;fullart_nrc_positive;fullart_nrc_negative;fullart_nrc_sentiment;resp_bing_positive;resp_bing_negative;resp_bing_sentiment;resp_afinn_positive;resp_afinn_negative;resp_afinn_sentiment;resp_nrc_positive;resp_nrc_negative;resp_nrc_sentiment;quest_bing_positive;quest_bing_negative;quest_bing_sentiment;quest_afinn_positive;quest_afinn_negative;quest_afinn_sentiment;quest_nrc_positive;quest_nrc_negative;quest_nrc_sentiment;sentimentr_fullart;sentimentr_resp;sentimentr_quest;Link;Tour;Tournament_Order;Course_Number;Player_Number;Player_Name;Event_Name;Course_Name;Interview_Text;Response_Negative;Response_Positive;Response_Sentiment;Round_Score;End_of_Round_Pos_numeric_;Total_Holes_Over_Par;Birdies;Birdies_Rank;Bogey_Avoidance_Rank;Driving_Distance_Rank;Driving_Accuracy_Rank;GIR_Rank;Scrambling_Rank;Distance_to_leader_strokes;Distance_to_leader_ranks;Ranks_gained;Strokes_gained_v_a_v_Leader;Distance_to_runner_up_strokes_;Strokes_gained_v_a_v_Runner_up;Minor_Injury;Major_injury_surgery;Personal_issues;Major;Prize_Money;SoF;OWGR;Number_Of_Answers
2000;11;4;89;23;66;181;33;148;73;55;18;10;8;2;20;11;9;15;11;4;79;15;64;161;22;139;58;44;14;0.112699569;0.126138073;-0.013438504;http://www.asapsports.com/show_interview.php?id=15907;R;130;11;8793;Woods, Tiger;THE PLAYERS Championship;TPC Sawgrass;NA;8;10;2;71;2;3;2;48;17;16;4;4;25;1;1;0;0;NA;NA;0;0;0;0;6113400;788;1;23
2000;14;4;164;39;125;321;46;275;146;56;90;25;5;20;38;1;37;18;4;14;139;34;105;283;45;238;128;52;76;0.161560457;0.158015389;0.003545068;http://www.asapsports.com/show_interview.php?id=15898;R;150;14;8793;Woods, Tiger;Masters Tournament;Augusta National GC;NA;5;25;20;69;5;2;5;4;8;1;29;12;20;6;4;0;0;NA;NA;0;0;0;1;4462828;741;1;38
2000;16;0;189;60;129;449;76;373;168;65;103;14;2;12;40;2;38;16;2;14;175;58;117;409;74;335;152;63;89;0.161985047;0.295976078;-0.133991031;http://www.asapsports.com/show_interview.php?id=15961;R;10;656;8793;Woods, Tiger;Mercedes Championships;The Plantation Course;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54
2000;16;1;40;18;22;64;24;40;37;26;11;8;4;4;14;5;9;7;6;1;32;14;18;50;19;31;30;20;10;0.049762488;0.18105882;-0.131296332;http://www.asapsports.com/show_interview.php?id=15958;R;10;656;8793;Woods, Tiger;Mercedes Championships;The Plantation Course;NA;4;8;4;71;3;2;4;3;5;2;28;9;8;2;2;NA;NA;NA;NA;0;0;0;0;2900000;305;1;17
2000;16;2;136;41;95;289;50;239;119;62;57;17;1;16;40;1;39;24;5;19;119;40;79;249;49;200;95;57;38;0.124246747;0.144024342;-0.019777595;http://www.asapsports.com/show_interview.php?id=15955;R;10;656;8793;Woods, Tiger;Mercedes Championships;The Plantation Course;NA;1;17;16;66;1;1;8;1;2;1;1;2;1;0;0;-2;-2;4;NA;0;0;0;0;2900000;305;1;49
2000;16;3;71;23;48;138;28;110;47;50;-3;6;3;3;10;2;8;2;2;0;65;20;45;128;26;102;45;48;-3;0.074673942;0.159478433;-0.084804491;http://www.asapsports.com/show_interview.php?id=15950;R;10;656;8793;Woods, Tiger;Mercedes Championships;The Plantation Course;NA;3;6;3;71;1;3;3;19;19;2;24;25;14;0;0;0;0;0;-4;0;0;0;0;2900000;305;1;18
2000;16;4;121;44;77;250;56;194;104;70;34;30;7;23;71;9;62;26;10;16;91;37;54;179;47;132;78;60;18;0.145496233;0.269505406;-0.124009173;http://www.asapsports.com/show_interview.php?id=15948;R;10;656;8793;Woods, Tiger;Mercedes Championships;The Plantation Course;NA;7;30;23;68;1;2;5;6;13;2;8;2;24;0;0;0;0;0;0;0;0;0;0;2900000;305;1;43
2000;19;0;194;61;133;404;53;351;166;76;90;30;4;26;52;4;48;21;6;15;164;57;107;352;49;303;145;70;75;0.125417048;0.226638918;-0.101221869;http://www.asapsports.com/show_interview.php?id=15904;R;200;19;8793;Woods, Tiger;GTE Byron Nelson Classic;TPC Four Seasons Resort;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;47
2000;19;1;38;25;13;61;13;48;25;30;-5;9;3;6;21;4;17;5;4;1;29;22;7;40;9;31;20;26;-6;0.022558125;-0.001873942;0.024432067;http://www.asapsports.com/show_interview.php?id=15903;R;200;19;8793;Woods, Tiger;GTE Byron Nelson Classic;TPC Four Seasons Resort;NA;3;9;6;73;75;6;4;8;108;2;25;67;139;7;74;NA;NA;NA;NA;0;0;0;0;4103600;523;1;20
2000;19;2;53;34;19;94;53;41;43;49;-6;15;6;9;30;4;26;12;5;7;38;28;10;64;49;15;31;44;-13;0.015918224;0.011817743;0.004100481;http://www.asapsports.com/show_interview.php?id=15902;R;200;613;8793;Woods, Tiger;GTE Byron Nelson Classic;Cottonwood Valley GC;NA;6;15;9;67;38;3;6;6;67;37;34;6;126;11;37;-37;4;NA;NA;0;0;0;0;4103600;523;1;17
