Tour,Tournament_Year,Tournament_Order,Permanent_Tournament_Number,Course_Number,Player_Number,Player_Name,Round_Number,Event_Name,Course_Name,Interview_Text,Number_Of_Answers,Link,Response_Negative,Response_Positive,Response_Sentiment,Round_Score,End_of_Round_Pos_numeric_,Total_Holes_Over_Par,Birdies,Birdies_Rank,Bogey_Avoidance_Rank,Driving_Distance_Rank,Driving_Accuracy_Rank,GIR_Rank,Scrambling_Rank,Distance_to_leader_strokes,Distance_to_leader_ranks,Ranks_gained,Strokes_gained_v_a_v_Leader,Distance_to_runner_up_strokes_,Strokes_gained_v_a_v_Runner_up,Minor_Injury,Major_injury_surgery,Personal_issues,Major,Prize_Money,SoF,OWGR,fullart_bing_positive,fullart_bing_negative,fullart_bing_sentiment,fullart_afinn_positive,fullart_afinn_negative,fullart_afinn_sentiment,fullart_nrc_positive,fullart_nrc_negative,fullart_nrc_sentiment,resp_bing_positive,resp_bing_negative,resp_bing_sentiment,resp_afinn_positive,resp_afinn_negative,resp_afinn_sentiment,resp_nrc_positive,resp_nrc_negative,resp_nrc_sentiment,quest_bing_positive,quest_bing_negative,quest_bing_sentiment,quest_afinn_positive,quest_afinn_negative,quest_afinn_sentiment,quest_nrc_positive,quest_nrc_negative,quest_nrc_sentiment,sentimentr_fullart,sentimentr_resp,sentimentr_quest
R,2007,40,4,104,8793,"Woods, Tiger",1,Buick Invitational,Torrey Pines (North),NA,25,http://www.asapsports.com/show_interview.php?id=40845,2,26,24,66,14,2,4,59,54,6,39,10,92,5,13,NA,NA,NA,NA,0,0,0,0,5220488.000000002,300,1,72,14,58,126,29,97,56,31,25,26,2,24,37,8,29,14,8,6,46,12,34,89,21,68,42,23,19,0.1591382843714163,0.3066608912309446,-0.14752260685952828
R,2007,40,4,4,8793,"Woods, Tiger",2,Buick Invitational,Torrey Pines GC (South),NA,13,http://www.asapsports.com/show_interview.php?id=40872,5,4,-1,72,12,3,3,74,79,12,14,71,111,7,11,-2,2,NA,NA,0,0,0,0,5220488.000000002,300,1,31,17,14,50,17,33,26,23,3,4,5,-1,10,11,-1,7,9,-2,27,12,15,40,6,34,19,14,5,0.058229019556339176,0.06672673143518534,-0.008497711878846168
R,2007,40,4,4,8793,"Woods, Tiger",3,Buick Invitational,Torrey Pines GC (South),NA,10,http://www.asapsports.com/show_interview.php?id=40883,1,7,6,69,4,0,3,28,1,5,71,7,1,2,3,-8,-5,NA,NA,0,0,0,0,5220488.000000002,300,1,30,9,21,48,7,41,15,9,6,7,1,6,17,1,16,3,2,1,23,8,15,31,6,25,12,7,5,0.10235087680284001,0.24743908983660393,-0.1450882130337639
R,2007,40,4,4,8793,"Woods, Tiger",4,Buick Invitational,Torrey Pines GC (South),NA,42,http://www.asapsports.com/show_interview.php?id=40902,6,36,30,66,1,1,5,10,2,2,52,9,10,0,0,-3,-2,2,NA,0,0,0,0,5220488.000000002,300,1,193,65,128,391,74,317,149,94,55,36,6,30,62,5,57,19,9,10,157,59,98,329,69,260,130,85,45,0.1449721379631809,0.2755512807188985,-0.1305791427557176
R,2007,120,9,9,8793,"Woods, Tiger",1,Arnold Palmer Invitational presented by MasterCard,Bay Hill Club & Lodge,NA,37,http://www.asapsports.com/show_interview.php?id=41742,4,21,17,64,1,1,7,1,4,32,48,1,117,0,0,NA,NA,0,NA,0,0,0,0,5584040,566,1,118,39,79,233,53,180,108,43,65,21,4,17,31,1,30,9,2,7,97,35,62,202,52,150,99,41,58,0.17466526837065366,0.21204378868690438,-0.03737852031625072
R,2007,120,9,9,8793,"Woods, Tiger",2,Arnold Palmer Invitational presented by MasterCard,Bay Hill Club & Lodge,NA,9,http://www.asapsports.com/show_interview.php?id=41773,4,2,-2,73,13,4,2,66,57,97,62,65,35,6,12,12,6,NA,NA,0,0,0,0,5584040,566,1,18,18,0,42,36,6,12,21,-9,2,4,-2,8,6,2,1,1,0,16,14,2,34,30,4,11,20,-9,-0.056897212385562036,-0.21704571310083565,0.16014850071527362
R,2007,120,9,9,8793,"Woods, Tiger",3,Arnold Palmer Invitational presented by MasterCard,Bay Hill Club & Lodge,NA,18,http://www.asapsports.com/show_interview.php?id=41813,5,8,3,70,10,1,1,60,1,11,33,6,3,5,9,-3,-1,NA,NA,0,0,0,0,5584040,566,1,53,22,31,109,32,77,35,21,14,8,5,3,22,10,12,2,4,-2,45,17,28,87,22,65,33,17,16,0.0922706637984033,0.1388863514398887,-0.046615687641485395
R,2007,120,9,9,8793,"Woods, Tiger",4,Arnold Palmer Invitational presented by MasterCard,Bay Hill Club & Lodge,NA,NA,NA,NA,NA,NA,76,22,5,3,6,30,38,58,12,69,11,21,12,6,NA,NA,0,0,0,0,5584040,566,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,2007,200,11,11,8793,"Woods, Tiger",1,THE PLAYERS Championship,TPC Sawgrass,NA,16,http://www.asapsports.com/show_interview.php?id=42754,2,12,10,75,58,3,NA,129,21,7,124,61,15,8,57,NA,NA,NA,NA,0,0,0,0,9153900,773,1,27,13,14,42,14,28,19,15,4,12,2,10,11,2,9,8,4,4,15,11,4,31,12,19,11,11,0,0.08851112222237466,0.11485834882108986,-0.026347226598715204
R,2007,200,11,11,8793,"Woods, Tiger",2,THE PLAYERS Championship,TPC Sawgrass,NA,14,http://www.asapsports.com/show_interview.php?id=42802,4,4,0,73,59,3,2,84,26,90,79,94,31,9,58,1,1,NA,NA,0,0,0,0,9153900,773,1,42,11,31,66,14,52,21,17,4,4,4,0,7,4,3,4,5,-1,38,7,31,59,10,49,17,12,5,0.129037971507126,0.11873783063459883,0.010300140872527175
R,2007,200,11,11,8793,"Woods, Tiger",3,THE PLAYERS Championship,TPC Sawgrass,NA,NA,NA,NA,NA,NA,73,64,3,3,42,40,71,71,14,68,14,63,5,5,NA,NA,0,0,0,0,9153900,773,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
